"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","FakeStore API","0","Products","1","0","Delete product with missing ID","0"
"0","User API Tests","0","Get User","1","0","Fetch all users","0"
"0","Carts","0","Create Cart","1","0","Create a cart with missing optional fields","0"
"0","Users","0","Create User","1","0","Create two valid users","0"
"0","Users","0","Create User","1","0","Create user response format","0"
"1","User API Tests","0","Get User","0","0","Fetch user and validate required fields","0"
"0","FakeStoreAPI Authentication","0","Login Endpoint","4","0","Successful login","0"
"0","FakeStore API Automation","0","Cart Resource","1","0","Retrieve single cart","0"
"0","Product Management","0","Create Product","1","0","Create product and verify ID is returned","0"
"0","FakeStoreAPI Authentication","0","Login Endpoint","1","0","Repeated login","0"
"0","User API Tests","1","Get User","0","0","Fetch a non-existent user by ID","0"
"0","Product Management","0","Create Product","1","0","Create product with different category","0"
"0","Cart Management","0","Delete Cart","1","0","Delete non-existing cart","0"
"0","Product Management","1","Update Product","0","0","Update product with invalid data types","0"
"0","FakeStore API Automation","0","Cart Resource","1","0","Retrieve all carts","0"
"0","FakeStoreAPI Authentication","0","Login Endpoint","2","0","","0"
"0","Users","0","Create User","1","0","Ensure a user exists dynamically","0"
"0","Cart Management","0","Delete Cart","1","0","Delete an existing cart","0"
"0","Users","1","Update User","0","0","Update an existing user with invalid data","0"
"0","FakeStore API","1","Products","1","0","Retrieve a specific product","0"
"0","FakeStore API","1","Products","0","0","Delete a non-existent product","0"
"0","FakeStoreAPI Authentication","2","Login Endpoint","0","0","Invalid login","0"
"0","Users","0","Create User","1","0","Create a valid user","0"
"0","Cart Management","1","Update Cart","0","0","Update existing cart with valid details","0"
"0","Users","0","Update User","1","0","Update an existing user with valid data","0"
"0","Users","1","Delete User","0","0","Delete the same user twice","0"
"0","FakeStore API","0","Products","1","0","Delete product with invalid ID format","0"
"0","FakeStore API","0","Products","1","0","Delete an existing product","0"
"0","Users","1","Delete User","0","0","Delete a non-existing user","0"
"0","Users","1","Update User","0","0","Update non-existent user","0"
"0","Cart Management","1","Update Cart","0","0","Update cart with invalid data","0"
"0","Users","0","Delete User","1","0","Delete an existing user","0"
"0","FakeStore API Automation","0","Cart Resource","1","0","Retrieve carts by user ID","0"
"0","FakeStore API","1","Products","0","0","Delete product twice","0"
"0","Product Management","1","Update Product","0","0","Update product with invalid ID","0"
"0","Product Management","0","Update Product","1","0","Partial product update","0"
"0","Cart Management","1","Update Cart","0","0","Update cart with empty product list","0"
"0","FakeStore API","0","Products","1","0","Retrieve all products","0"
"0","Carts","0","Create Cart","1","0","Create a valid cart","0"
"0","Product Management","0","Update Product","1","0","Update product with valid data","0"
"0","Cart Management","1","Update Cart","0","0","Update non-existent cart","0"
"0","Product Management","1","Create Product","0","0","Create product with valid data","0"
"0","Product Management","1","Update Product","0","0","Update product with missing required fields","0"
"0","Cart Management","1","Delete Cart","0","0","Delete cart with invalid ID format","0"
"0","FakeStore API","0","Products","1","0","Retrieve products with limit","0"
