"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"FakeStore API Automation","Cart Resource","Retrieve all carts","0","0","1","0","0"
"Cart Management","Delete Cart","Delete non-existing cart","0","0","1","0","0"
"Cart Management","Delete Cart","Delete cart with invalid ID format","1","0","0","0","0"
"Product Management","Update Product","Update product with invalid ID","1","0","0","0","0"
"FakeStore API","Products","Delete product twice","1","0","0","0","0"
"FakeStore API Automation","Cart Resource","Retrieve single cart","0","0","1","0","0"
"FakeStore API","Products","Retrieve products with limit","0","0","1","0","0"
"FakeStore API","Products","Retrieve a specific product","1","0","1","0","0"
"FakeStore API","Products","Retrieve all products","0","0","1","0","0"
"Product Management","Update Product","Update product with valid data","0","0","1","0","0"
"FakeStoreAPI Authentication","Login Endpoint","Successful login","0","0","4","0","0"
"Carts","Create Cart","Create a valid cart","0","0","1","0","0"
"Users","Create User","Create a valid user","0","0","1","0","0"
"FakeStoreAPI Authentication","Login Endpoint","Invalid login","2","0","0","0","0"
"FakeStore API","Products","Delete a non-existent product","1","0","0","0","0"
"Users","Create User","Create user response format","0","0","1","0","0"
"Users","Update User","Update non-existent user","1","0","0","0","0"
"Users","Delete User","Delete the same user twice","1","0","0","0","0"
"Cart Management","Update Cart","Update non-existent cart","1","0","0","0","0"
"Cart Management","Update Cart","Update cart with empty product list","1","0","0","0","0"
"FakeStore API","Products","Delete product with missing ID","0","0","1","0","0"
"Carts","Create Cart","Create a cart with missing optional fields","0","0","1","0","0"
"User API Tests","Get User","Fetch a non-existent user by ID","1","0","0","0","0"
"FakeStore API","Products","Delete product with invalid ID format","0","0","1","0","0"
"Users","Update User","Update an existing user with valid data","0","0","1","0","0"
"Cart Management","Delete Cart","Delete an existing cart","0","0","1","0","0"
"Users","Create User","Ensure a user exists dynamically","0","0","1","0","0"
"User API Tests","Get User","Fetch all users","0","0","1","0","0"
"Product Management","Create Product","Create product and verify ID is returned","0","0","1","0","0"
"Users","Update User","Update an existing user with invalid data","1","0","0","0","0"
"Users","Create User","Create two valid users","0","0","1","0","0"
"Cart Management","Update Cart","Update existing cart with valid details","0","0","1","0","0"
"Product Management","Update Product","Partial product update","0","0","1","0","0"
"Product Management","Update Product","Update product with invalid data types","1","0","0","0","0"
"Users","Delete User","Delete an existing user","0","0","1","0","0"
"Product Management","Create Product","Create product with valid data","1","0","0","0","0"
"FakeStoreAPI Authentication","Login Endpoint","Repeated login","0","0","1","0","0"
"FakeStoreAPI Authentication","Login Endpoint","","0","0","2","0","0"
"Cart Management","Update Cart","Update cart with invalid data","1","0","0","0","0"
"Product Management","Create Product","Create product with different category","0","0","1","0","0"
"FakeStore API","Products","Delete an existing product","0","0","1","0","0"
"FakeStore API Automation","Cart Resource","Retrieve carts by user ID","0","0","1","0","0"
"Product Management","Update Product","Update product with missing required fields","1","0","0","0","0"
"Users","Delete User","Delete a non-existing user","1","0","0","0","0"
