"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 11:17:20 GMT 2025","Wed Aug 20 11:17:20 GMT 2025","556","","com.fakeapistoreapi.tests.cart.GetCartTest","","com.fakeapistoreapi.tests.cart.GetCartTest","getAllCarts","Get All Carts","Verify retrieving all carts returns 200 and a non-empty list"
"passed","Wed Aug 20 11:17:17 GMT 2025","Wed Aug 20 11:17:18 GMT 2025","584","","com.fakeapistoreapi.tests.cart.DeleteCartTest","","com.fakeapistoreapi.tests.cart.DeleteCartTest","deleteNonExistingCart","Delete Cart - Non-existing Cart","Verify that deleting a non-existing cart still returns 200 OK in FakeStoreAPI"
"failed","Wed Aug 20 11:17:18 GMT 2025","Wed Aug 20 11:17:18 GMT 2025","524","","com.fakeapistoreapi.tests.cart.DeleteCartTest","","com.fakeapistoreapi.tests.cart.DeleteCartTest","deleteCartWithInvalidId","Delete Cart - Invalid ID Format","Verify that deleting a cart with invalid ID format returns 404 Not Found"
"failed","Wed Aug 20 11:17:38 GMT 2025","Wed Aug 20 11:17:39 GMT 2025","1482","","com.fakeapistoreapi.tests.product.UpdateProductTest","","com.fakeapistoreapi.tests.product.UpdateProductTest","updateProductInvalidId","Update fails with invalid product ID","Verify that updating a product using a non-existent or invalid product ID returns status 404."
"failed","Wed Aug 20 11:17:32 GMT 2025","Wed Aug 20 11:17:33 GMT 2025","1187","","com.fakeapistoreapi.tests.product.DeleteProductTest","","com.fakeapistoreapi.tests.product.DeleteProductTest","deleteProductTwice","Delete Product - Already Deleted","Verify that attempting to delete a product that was already deleted returns an error."
"passed","Wed Aug 20 11:17:18 GMT 2025","Wed Aug 20 11:17:19 GMT 2025","643","","com.fakeapistoreapi.tests.cart.GetCartTest","","com.fakeapistoreapi.tests.cart.GetCartTest","getCartByValidId","Get Cart by Valid ID","Verify retrieving a valid cart by ID returns 200 and correct cart details"
"passed","Wed Aug 20 11:17:37 GMT 2025","Wed Aug 20 11:17:38 GMT 2025","502","","com.fakeapistoreapi.tests.product.GetProductTest","","com.fakeapistoreapi.tests.product.GetProductTest","getProductsWithLimit","Get products with a limit parameter","Verify that retrieving products with a limit parameter returns only the specified number of products."
"passed","Wed Aug 20 11:17:37 GMT 2025","Wed Aug 20 11:17:37 GMT 2025","625","","com.fakeapistoreapi.tests.product.GetProductTest","","com.fakeapistoreapi.tests.product.GetProductTest","getProductByValidId","Get product by valid ID","Verify that retrieving a product by a valid ID returns status code 200 and correct product details."
"passed","Wed Aug 20 11:17:36 GMT 2025","Wed Aug 20 11:17:36 GMT 2025","555","","com.fakeapistoreapi.tests.product.GetProductTest","","com.fakeapistoreapi.tests.product.GetProductTest","getAllProducts","Get all products","Verify that retrieving all products returns status code 200 and a non-empty list."
"passed","Wed Aug 20 11:17:41 GMT 2025","Wed Aug 20 11:17:41 GMT 2025","529","","com.fakeapistoreapi.tests.product.UpdateProductTest","","com.fakeapistoreapi.tests.product.UpdateProductTest","updateProductWithValidData","Successfully update an existing product","Verify that updating an existing product with valid details returns status 200 and correct updated fields."
"passed","Wed Aug 20 11:17:06 GMT 2025","Wed Aug 20 11:17:06 GMT 2025","680","","com.fakeapistoreapi.tests.auth.LoginTest","","com.fakeapistoreapi.tests.auth.LoginTest","tokenNotNullOrEmpty","Login: token not null/empty","Token should not be null or empty for valid credentials."
"passed","Wed Aug 20 11:17:14 GMT 2025","Wed Aug 20 11:17:15 GMT 2025","1253","","com.fakeapistoreapi.tests.cart.CreateCartTest","","com.fakeapistoreapi.tests.cart.CreateCartTest","createValidCart","Create a valid cart","Verify that a new valid cart can be created successfully"
"passed","Wed Aug 20 11:17:41 GMT 2025","Wed Aug 20 11:17:42 GMT 2025","762","","com.fakeapistoreapi.tests.user.CreateUserTest","","com.fakeapistoreapi.tests.user.CreateUserTest","createValidUser_shouldReturn2xxAndId","Create user → returns 2xx and id","POST /users with a valid payload should return 200/201 and include an id"
"passed","Wed Aug 20 11:17:07 GMT 2025","Wed Aug 20 11:17:08 GMT 2025","688","","com.fakeapistoreapi.tests.auth.LoginTest","","com.fakeapistoreapi.tests.auth.LoginTest","responseTimeUnder5Seconds","Login: response time < 5s","Response time for valid login should be under 5 seconds."
"passed","Wed Aug 20 11:17:06 GMT 2025","Wed Aug 20 11:17:07 GMT 2025","650","","com.fakeapistoreapi.tests.auth.LoginTest","","com.fakeapistoreapi.tests.auth.LoginTest","contentTypeIsJson","Login: Content-Type contains application/json","Content-Type header should include application/json."
"failed","Wed Aug 20 11:17:09 GMT 2025","Wed Aug 20 11:17:10 GMT 2025","685","","com.fakeapistoreapi.tests.auth.LoginTest","","com.fakeapistoreapi.tests.auth.LoginTest","invalidPasswordShouldFail","Invalid password returns 401","Invalid password should return 401 (this will fail with FakeStoreAPI)"
"failed","Wed Aug 20 11:17:33 GMT 2025","Wed Aug 20 11:17:34 GMT 2025","562","","com.fakeapistoreapi.tests.product.DeleteProductTest","","com.fakeapistoreapi.tests.product.DeleteProductTest","deleteProductWithInvalidId","Delete Product - Invalid Product ID","Verify that deleting a non-existent product returns an error status code."
"passed","Wed Aug 20 11:17:42 GMT 2025","Wed Aug 20 11:17:43 GMT 2025","668","","com.fakeapistoreapi.tests.user.CreateUserTest","","com.fakeapistoreapi.tests.user.CreateUserTest","createUser_minimalContract_shouldHold","Create user → minimal response contract","Verify the create user response at least has id and is JSON"
"failed","Wed Aug 20 11:17:50 GMT 2025","Wed Aug 20 11:17:51 GMT 2025","651","","com.fakeapistoreapi.tests.user.UpdateUserTest","","com.fakeapistoreapi.tests.user.UpdateUserTest","updateNonExistentUser","Update non-existent user","Verify that updating a non-existent user returns a 404 Not Found"
"failed","Wed Aug 20 11:17:47 GMT 2025","Wed Aug 20 11:17:49 GMT 2025","1991","","com.fakeapistoreapi.tests.user.DeleteUserTest","","com.fakeapistoreapi.tests.user.DeleteUserTest","deleteUserTwice","Delete a user twice","Verify that deleting a user twice returns 404 the second time"
"failed","Wed Aug 20 11:17:20 GMT 2025","Wed Aug 20 11:17:21 GMT 2025","1177","","com.fakeapistoreapi.tests.cart.UpdateCartTest","","com.fakeapistoreapi.tests.cart.UpdateCartTest","updateNonExistentCart","Update Non-Existent Cart","Verify that updating a non-existent cart returns 404 Not Found."
"failed","Wed Aug 20 11:17:36 GMT 2025","Wed Aug 20 11:17:37 GMT 2025","471","","com.fakeapistoreapi.tests.product.GetProductTest","","com.fakeapistoreapi.tests.product.GetProductTest","getProductByInvalidId","Get product by invalid ID","Verify that retrieving a product by an invalid ID returns status code 404."
"failed","Wed Aug 20 11:17:28 GMT 2025","Wed Aug 20 11:17:30 GMT 2025","2393","","com.fakeapistoreapi.tests.cart.UpdateCartTest","","com.fakeapistoreapi.tests.cart.UpdateCartTest","updateCartWithEmptyProductList","Update Cart with Empty Product List","Verify that updating a cart with an empty product list returns 400 Bad Request."
"passed","Wed Aug 20 11:17:34 GMT 2025","Wed Aug 20 11:17:35 GMT 2025","986","","com.fakeapistoreapi.tests.product.DeleteProductTest","","com.fakeapistoreapi.tests.product.DeleteProductTest","deleteProductMissingId","Delete Product - Missing ID","Verify that attempting to delete a product without specifying an ID returns an error."
"passed","Wed Aug 20 11:17:00 GMT 2025","Wed Aug 20 11:17:05 GMT 2025","4941","","com.fakeapistoreapi.tests.auth.LoginTest","","com.fakeapistoreapi.tests.auth.LoginTest","validLoginReturnsToken","Login: 201 + token for valid credentials","Valid login should return 201 and a non-empty token."
"passed","Wed Aug 20 11:17:13 GMT 2025","Wed Aug 20 11:17:14 GMT 2025","1482","","com.fakeapistoreapi.tests.cart.CreateCartTest","","com.fakeapistoreapi.tests.cart.CreateCartTest","createCartWithMissingOptionalFields","Create cart with missing optional fields","Verify that a cart can be created even if optional fields are missing"
"failed","Wed Aug 20 11:17:50 GMT 2025","Wed Aug 20 11:17:50 GMT 2025","605","","com.fakeapistoreapi.tests.user.GetUserTest","","com.fakeapistoreapi.tests.user.GetUserTest","getNonExistentUser","Get Non-Existent User","This test verifies that fetching a user with an invalid ID returns 404 Not Found."
